source_id,species_common,species_scientific,quality_grade,cc_license,type_label,latitude,longitude,country
1031057,White-breasted Waterhen,Amaurornis phoenicurus,A,CC-BY-NC-SA-4.0,call,1.277,103.792,Singapore
1032011,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-4.0,song,1.3131,103.8137,Singapore
1034181,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-4.0,song,4.9702,117.8124,Malaysia
1034184,Pied Fantail,Rhipidura javanica,A,CC-BY-NC-SA-4.0,song,4.9618,117.6892,Malaysia
1035372,Spotted Dove,Spilopelia chinensis,A,CC-BY-NC-SA-4.0,song,24.2431,120.8696,Taiwan
1038548,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-4.0,song,12.6121,101.6882,Thailand
1041026,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-SA-4.0,other,12.7161,102.197,Thailand
1046270,Spotted Dove,Spilopelia chinensis,B,CC-BY-NC-SA-4.0,song,1.3267,103.8431,Singapore
1047221,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-4.0,call,1.3139,103.8157,Singapore
1047852,Yellow-vented Bulbul,Pycnonotus goiavier,A,CC-BY-NC-SA-4.0,call,5.6266,117.1228,Malaysia
1048464,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-4.0,call,3.094,101.7202,Malaysia
1049153,White-breasted Waterhen,Amaurornis phoenicurus,A,CC-BY-NC-SA-4.0,song,,,China
1050124,Coppersmith Barbet,Psilopogon haemacephalus,A,CC-BY-NC-SA-4.0,call,7.8945,80.7,Sri Lanka
1051085,Pied Fantail,Rhipidura javanica,A,CC-BY-NC-SA-4.0,song,12.477,98.614,Myanmar
105148,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-ND-2.5,song,-8.292,124.7214,Indonesia
1051597,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-4.0,call,1.448,103.728,Singapore
1059444,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-4.0,call,-6.1053,106.7356,Indonesia
1060054,Pied Fantail,Rhipidura javanica,A,CC-BY-NC-SA-4.0,song,1.3131,103.8137,Singapore
1062730,Spotted Dove,Spilopelia chinensis,A,CC-BY-NC-ND-4.0,song,1.348,103.7491,Singapore
1063688,Large-tailed Nightjar,Caprimulgus macrurus,A,CC-BY-NC-ND-4.0,call,3.1993,101.5946,Malaysia
1067106,Olive-backed Sunbird,Cinnyris jugularis,B,CC-BY-NC-SA-4.0,call,12.7161,102.197,Thailand
1067842,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-SA-4.0,call,1.4168,103.7287,Singapore
1069296,Yellow-vented Bulbul,Pycnonotus goiavier,A,CC-BY-NC-SA-4.0,call,13.7287,100.5542,Thailand
1069336,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-SA-4.0,song,13.7287,100.5542,Thailand
1069346,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-SA-4.0,song,13.7137,100.5217,Thailand
1070371,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-ND-4.0,song,1.4709,103.7059,Malaysia
1070498,Olive-backed Sunbird,Cinnyris jugularis,A,CC-BY-NC-SA-4.0,song,12.7161,102.197,Thailand
1070586,Large-tailed Nightjar,Caprimulgus macrurus,A,CC-BY-NC-SA-4.0,song,21.6181,108.3441,China
1070587,Large-tailed Nightjar,Caprimulgus macrurus,A,CC-BY-NC-SA-4.0,song,21.6181,108.3441,China
1071357,White-throated Kingfisher,Halcyon smyrnensis,A,CC-BY-NC-ND-4.0,call,5.4748,100.4231,Malaysia
1071405,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-4.0,call,6.6476,100.2826,Malaysia
1071730,Large-tailed Nightjar,Caprimulgus macrurus,A,CC-BY-NC-SA-4.0,song,12.811,99.563,Thailand
1071873,Pied Fantail,Rhipidura javanica,A,CC-BY-NC-ND-4.0,song,1.3359,103.726,Singapore
1071878,Pied Fantail,Rhipidura javanica,A,CC-BY-NC-ND-4.0,song,1.3359,103.726,Singapore
1073299,Olive-backed Sunbird,Cinnyris jugularis,A,CC-BY-NC-ND-4.0,call,13.4124,100.9843,Thailand
1073418,White-breasted Waterhen,Amaurornis phoenicurus,A,CC-BY-NC-SA-4.0,call,12.8067,99.4985,Thailand
1073421,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-4.0,call,12.811,99.563,Thailand
107387,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-ND-2.5,song,11.5289,109.059,Vietnam
1074030,Coppersmith Barbet,Psilopogon haemacephalus,C,CC-BY-NC-SA-4.0,song,7.0237,125.3778,Philippines
1075507,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-4.0,call,1.357,103.7719,Singapore
1075897,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-4.0,call,-1.4351,120.3067,Indonesia
1075899,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-SA-4.0,call,0.5667,123.9026,Indonesia
1077751,Large-tailed Nightjar,Caprimulgus macrurus,A,CC-BY-NC-ND-4.0,song,2.3383,111.8058,Malaysia
1078104,White-throated Kingfisher,Halcyon smyrnensis,A,CC-BY-NC-ND-4.0,song,1.2788,103.8644,Singapore
1079695,Olive-backed Sunbird,Cinnyris jugularis,A,CC-BY-NC-SA-4.0,"call, song",24.3422,109.4425,China
1080608,Olive-backed Sunbird,Cinnyris jugularis,A,CC-BY-NC-SA-4.0,song,12.885,99.6317,Thailand
109957,Olive-backed Sunbird,Cinnyris jugularis,B,CC-BY-NC-ND-4.0,call,2.5298,101.8051,Malaysia
113335,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-4.0,song,33.6145,107.5433,China
115903,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-SA-3.0,song,26.7944,91.5032,India
117091,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-SA-3.0,"call, flight call",28.464,76.893,India
121824,Collared Kingfisher,Todiramphus chloris,C,CC-BY-NC-ND-4.0,song,-9.643,119.683,Indonesia
122982,Coppersmith Barbet,Psilopogon haemacephalus,C,CC-BY-SA-3.0,call,22.537,88.3395,India
124350,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,song,13.9667,104.8833,Cambodia
124365,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-3.0,call,13.9144,104.5538,Cambodia
124367,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-3.0,song,13.9144,104.5538,Cambodia
124434,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-SA-3.0,call,13.2289,103.6251,Cambodia
125392,White-throated Kingfisher,Halcyon smyrnensis,B,CC-BY-NC-SA-3.0,call,22.456,88.404,India
125847,Common Iora,Aegithina tiphia,B,CC-BY-SA-3.0,song,22.456,88.404,India
126377,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,song,11.3473,107.1501,Vietnam
133013,Asian Koel,Eudynamys scolopaceus,A,CC-BY-NC-ND-3.0,song,26.7077,89.5603,India
142516,Coppersmith Barbet,Psilopogon haemacephalus,C,CC-BY-NC-SA-3.0,call,33.7201,73.1137,Pakistan
